Pais,Poblacion,R0_min,R0_max,tc_min,tc_max
Argentina,44.4e6,,,,
Argentina,0,,,,
Argentina,,3.5,4.5,,
Argentina,,1.0,2.0,19.0,20.0
Argentina,,1.0,2.0,78.0,79.0
Brazil,209.5e6,,,,
Brazil,0,,,,
Brazil,,3.5,5.0,,
Brazil,,1.0,2.0,19.0,20.0
Brazil,,1.0,2.0,78.0,79.0
Chile,19107216.0,,,,
Chile,0,,,,
Chile,,4.3,4.4,,
Chile,,1.2,1.4,23.0,25.0
Chile,,1.4,1.6,52.0,54.0
Iran,81.8e6,,,,
Iran,10,,,,
Iran,,2.0,5.0,,
Iran,,2.0,5.0,15.0,25.0
Iran,,0.0,2.0,25.0,30.0
Iran,,2.0,5.0,55.0,65.0
Italy,60541000.0,,,,
Italy,25,,,,
Italy,,3.3,3.5,,
Italy,,.9,1.1,19.0,20.0
Italy,,.5,.7,56.0,57.0
Spain,47007367.0,,,,
Spain,30,,,,
Spain,,3.0,5.0,,
Spain,,0.0,1.0,15.0,50.0
United Kingdom ,66.65e6,,,,
United Kingdom ,25,,,,
United Kingdom ,,3.0,4.5,,
United Kingdom ,,0.8,1.2,33.0,40.0
United Kingdom ,,0.5,1.0,60.0,70.0
US,325719178.0,,,,
US,30,,,,
US,,3.0,4.0,,
US,,.5,1.2,25.0,45.0
