Fecha,Provincia,Long,Lat,Confirmados_acum,Recuperados_acum,Fallecidos_acum,Activos_acum,Fuente
2020-03-03,Buenos Aires,-60.55722,-36.67373,0,,,,
2020-03-03,CABA,-58.44591,-34.61449,1,,,,
2020-03-03,Catamarca,-66.94769,-27.33589,0,,,,
2020-03-03,Chaco,-60.76583,-26.38643,0,,,,
2020-03-03,Chubut,-68.52699,-43.78851,0,,,,
2020-03-03,Córdoba,-63.80186,-32.14292,0,,,,
2020-03-03,Corrientes,-57.80480,-28.78006,0,,,,
2020-03-03,Entre Ríos,-59.20145,-32.05887,0,,,,
2020-03-03,Formosa,-59.93246,-24.89495,0,,,,
2020-03-03,Jujuy,-65.76433,-23.31999,0,,,,
2020-03-03,La Pampa,-65.44665,-37.13155,0,,,,
2020-03-03,La Rioja,-67.18174,-29.68578,0,,,,
2020-03-03,Mendoza,-68.58313,-34.62998,0,,,,
2020-03-03,Misiones,-54.65168,-26.87541,0,,,,
2020-03-03,Neuquén,-70.11877,-38.64170,0,,,,
2020-03-03,Río Negro,-67.22940,-40.40577,0,,,,
2020-03-03,Salta,-64.93286,-25.03768,0,,,,
2020-03-03,San Juan,-68.88949,-30.86537,0,,,,
2020-03-03,San Luis,-66.02813,-33.75773,0,,,,
2020-03-03,Santa Cruz,-69.95597,-48.81547,0,,,,
2020-03-03,Santa Fe,-60.94991,-30.70707,0,,,,
2020-03-03,Santiago del Estero,-63.25238,-27.78242,0,,,,
2020-03-03,T. del Fuego + Malvinas,-67.47126,-54.32989,0,,,,
2020-03-03,Tucumán,-65.36485,-26.94806,0,,,,
2020-03-05,Buenos Aires,-60.55722,-36.67373,0,,,,
2020-03-05,CABA,-58.44591,-34.61449,2,,,,
2020-03-05,Catamarca,-66.94769,-27.33589,0,,,,
2020-03-05,Chaco,-60.76583,-26.38643,0,,,,
2020-03-05,Chubut,-68.52699,-43.78851,0,,,,
2020-03-05,Córdoba,-63.80186,-32.14292,0,,,,
2020-03-05,Corrientes,-57.80480,-28.78006,0,,,,
2020-03-05,Entre Ríos,-59.20145,-32.05887,0,,,,
2020-03-05,Formosa,-59.93246,-24.89495,0,,,,
2020-03-05,Jujuy,-65.76433,-23.31999,0,,,,
2020-03-05,La Pampa,-65.44665,-37.13155,0,,,,
2020-03-05,La Rioja,-67.18174,-29.68578,0,,,,
2020-03-05,Mendoza,-68.58313,-34.62998,0,,,,
2020-03-05,Misiones,-54.65168,-26.87541,0,,,,
2020-03-05,Neuquén,-70.11877,-38.64170,0,,,,
2020-03-05,Río Negro,-67.22940,-40.40577,0,,,,
2020-03-05,Salta,-64.93286,-25.03768,0,,,,
2020-03-05,San Juan,-68.88949,-30.86537,0,,,,
2020-03-05,San Luis,-66.02813,-33.75773,0,,,,
2020-03-05,Santa Cruz,-69.95597,-48.81547,0,,,,
2020-03-05,Santa Fe,-60.94991,-30.70707,0,,,,
2020-03-05,Santiago del Estero,-63.25238,-27.78242,0,,,,
2020-03-05,T. del Fuego + Malvinas,-67.47126,-54.32989,0,,,,
2020-03-05,Tucumán,-65.36485,-26.94806,0,,,,
2020-03-07,Buenos Aires,-60.55722,-36.67373,1,,,,
2020-03-07,CABA,-58.44591,-34.61449,6,,,,
2020-03-07,Catamarca,-66.94769,-27.33589,0,,,,
2020-03-07,Chaco,-60.76583,-26.38643,0,,,,
2020-03-07,Chubut,-68.52699,-43.78851,0,,,,
2020-03-07,Córdoba,-63.80186,-32.14292,1,,,,
2020-03-07,Corrientes,-57.80480,-28.78006,0,,,,
2020-03-07,Entre Ríos,-59.20145,-32.05887,0,,,,
2020-03-07,Formosa,-59.93246,-24.89495,0,,,,
2020-03-07,Jujuy,-65.76433,-23.31999,0,,,,
2020-03-07,La Pampa,-65.44665,-37.13155,0,,,,
2020-03-07,La Rioja,-67.18174,-29.68578,0,,,,
