"Provincia","Poblacion"
"Buenos Aires","15594428"
"Córdoba","3304825"
"Santa Fe","3300736"
"CABA","2891082"
"Mendoza","1741610"
"Tucumán","1592878"
"Entre Ríos","1236300"
"Salta","1215207"
"Misiones","1097829"
"Chaco","1053466"
"Corrientes","993338"
"Santiago del Estero","896461"
"San Juan","680427"
"Jujuy","672260"
"Río Negro","633374"
"Neuquén","550344"
"Formosa","527895"
"Chubut","506668"
"San Luis","461588"
"Catamarca","367820"
"La Rioja","331847"
"La Pampa","316940"
"Santa Cruz","272524"
"Tierra del Fuego, Antártida e Islas del Atlántico Sur","126190"
